Time,O2
10.109375,-59
10.11328125,-56
10.1171875,-46
10.12109375,-33
10.125,-20
10.12890625,-10
10.1328125,-7
10.13671875,-5
10.140625,2
10.14453125,15
10.1484375,27
10.15234375,34
10.15625,35
10.16015625,33
10.1640625,33
10.16796875,40
10.171875,53
10.17578125,63
10.1796875,60
10.18359375,38
10.1875,5
10.19140625,-25
10.1953125,-43
10.19921875,-49
10.203125,-45
10.20703125,-39
10.2109375,-39
10.21484375,-49
10.21875,-63
10.22265625,-68
10.2265625,-59
10.23046875,-38
10.234375,-18
10.23828125,-4
10.2421875,5
10.24609375,11
10.25,13
10.25390625,16
10.2578125,18
10.26171875,17
10.265625,12
10.26953125,6
10.2734375,8
10.27734375,17
10.28125,25
10.28515625,25
10.2890625,11
10.29296875,-12
10.296875,-33
10.30078125,-49
10.3046875,-59
10.30859375,-62
10.3125,-53
10.31640625,-36
10.3203125,-16
10.32421875,3
10.328125,16
10.33203125,20
10.3359375,16
10.33984375,7
10.34375,-1
10.34765625,-2
10.3515625,5
10.35546875,17
10.359375,28
10.36328125,35
10.3671875,36
10.37109375,32
10.375,20
10.37890625,4
10.3828125,-5
10.38671875,-6
10.390625,-6
10.39453125,-16
10.3984375,-32
10.40234375,-45
10.40625,-55
10.41015625,-60
10.4140625,-56
10.41796875,-47
10.421875,-37
10.42578125,-29
10.4296875,-20
10.43359375,-7
10.4375,7
10.44140625,13
10.4453125,10
10.44921875,-1
10.453125,-14
10.45703125,-19
10.4609375,-11
10.46484375,3
10.46875,13
10.47265625,10
10.4765625,-2
10.48046875,-17
10.484375,-31
10.48828125,-37
10.4921875,-36
10.49609375,-35
10.5,-35
10.50390625,-38
10.5078125,-41
10.51171875,-41
10.515625,-39
10.51953125,-40
10.5234375,-46
10.52734375,-55
10.53125,-59
10.53515625,-58
10.5390625,-55
10.54296875,-51
10.546875,-48
10.55078125,-49
10.5546875,-55
10.55859375,-63
10.5625,-67
10.56640625,-66
10.5703125,-56
10.57421875,-35
10.578125,-11
10.58203125,8
10.5859375,15
10.58984375,11
10.59375,3
10.59765625,-5
10.6015625,-7
10.60546875,-4
10.609375,2
10.61328125,4
10.6171875,-2
10.62109375,-12
10.625,-23
10.62890625,-37
10.6328125,-53
10.63671875,-65
10.640625,-70
10.64453125,-69
10.6484375,-66
10.65234375,-65
10.65625,-68
10.66015625,-76
10.6640625,-83
10.66796875,-83
10.671875,-73
10.67578125,-56
10.6796875,-40
10.68359375,-33
10.6875,-35
10.69140625,-41
10.6953125,-46
10.69921875,-43
10.703125,-30
10.70703125,-8
10.7109375,16
10.71484375,36
10.71875,47
10.72265625,48
10.7265625,38
10.73046875,18
10.734375,-9
10.73828125,-37
10.7421875,-59
10.74609375,-69
10.75,-64
10.75390625,-48
10.7578125,-24
10.76171875,0
10.765625,16
10.76953125,25
10.7734375,31
10.77734375,31
10.78125,21
10.78515625,6
10.7890625,-6
10.79296875,-8
10.796875,-2
10.80078125,6
10.8046875,9
10.80859375,3
10.8125,-11
10.81640625,-26
10.8203125,-34
10.82421875,-30
10.828125,-19
10.83203125,-13
10.8359375,-15
10.83984375,-22
10.84375,-30
10.84765625,-39
10.8515625,-50
10.85546875,-63
10.859375,-77
10.86328125,-87
10.8671875,-88
10.87109375,-76
10.875,-56
10.87890625,-34
10.8828125,-23
10.88671875,-25
10.890625,-37
10.89453125,-50
10.8984375,-56
10.90234375,-51
10.90625,-36
10.91015625,-16
10.9140625,1
10.91796875,10
10.921875,10
10.92578125,1
10.9296875,-14
10.93359375,-33
10.9375,-47
10.94140625,-53
10.9453125,-50
10.94921875,-44
10.953125,-37
10.95703125,-33
10.9609375,-33
10.96484375,-35
10.96875,-35
10.97265625,-32
10.9765625,-29
10.98046875,-28
10.984375,-24
10.98828125,-15
10.9921875,-3
10.99609375,5
11.0,4
11.00390625,-8
11.0078125,-27
11.01171875,-44
11.015625,-57
11.01953125,-61
11.0234375,-60
11.02734375,-54
11.03125,-46
11.03515625,-33
11.0390625,-15
11.04296875,5
11.046875,22
11.05078125,31
11.0546875,33
11.05859375,32
11.0625,35
11.06640625,43
11.0703125,56
11.07421875,65
11.078125,65
11.08203125,54
11.0859375,32
